gX,gY,gZ
-21,28,-158
-21,28,-158
-21,28,-158
-21,28,-158
-21,28,-158
-21,28,-158
-21,28,-158
-42,15,-144
-42,15,-144
-42,15,-144
-42,15,-144
-42,15,-144
-42,15,-144
-42,15,-144
-42,15,-144
-58,2,-134
-58,2,-134
-58,2,-134
-58,2,-134
-58,2,-134
-58,2,-134
-58,2,-134
-58,2,-134
-65,-9,-137
-65,-9,-137
-65,-9,-137
-65,-9,-137
-65,-9,-137
-65,-9,-137
-65,-9,-137
-65,-9,-137
-67,-14,-152
-67,-14,-152
-67,-14,-152
-67,-14,-152
-67,-14,-152
-67,-14,-152
-67,-14,-152
-64,-8,-168
-64,-8,-168
-64,-8,-168
-64,-8,-168
-64,-8,-168
-64,-8,-168
-64,-8,-168
-64,-8,-168
-59,9,-175
-59,9,-175
-59,9,-175
-59,9,-175
-59,9,-175
-59,9,-175
-59,9,-175
-59,9,-175
-59,26,-174
-54,26,-174
-54,26,-174
-54,26,-174
-54,26,-174
-54,26,-174
-54,26,-174
-54,26,-174
-53,30,-170
-53,30,-170
-53,30,-170
-53,30,-170
-53,30,-170
-53,30,-170
-53,30,-170
-53,30,-170
-57,20,-168
-57,20,-168
-57,20,-168
-57,20,-168
-57,20,-168
-57,20,-168
-57,20,-168
-57,20,-168
-66,1,-165
-66,1,-165
-66,1,-165
-66,1,-165
-66,1,-165
-66,1,-165
-66,1,-165
-66,1,-165
-79,-8,-148
-79,-8,-148
-79,-8,-148
-79,-8,-148
-79,-8,-148
-79,-8,-148
-79,-8,-148
-79,-8,-148
-93,-10,-120
-93,-10,-120
-93,-10,-120
-93,-10,-120
-93,-10,-120
-93,-10,-120
-93,-10,-120
-93,-15,-102
-107,-15,-102
-107,-15,-102
-107,-15,-102
-107,-15,-102
-107,-15,-102
-107,-15,-102
-107,-19,-102
-117,-18,-102
-117,-18,-102
-117,-18,-102
-117,-18,-102
-117,-18,-102
-117,-18,-102
-117,-18,-113
-120,-18,-113
-120,-18,-113
-120,-18,-113
-120,-18,-113
-120,-18,-113
-120,-18,-113
-121,-20,-125
-121,-20,-125
-121,-20,-125
-121,-20,-125
-121,-20,-125
-121,-20,-125
-121,-20,-125
-123,-19,-125
-123,-19,-125
-123,-19,-125
-123,-19,-125
-123,-19,-125
-123,-19,-125
-123,-19,-125
-126,-9,-115
-126,-9,-115
-126,-9,-115
-126,-9,-115
-126,-9,-115
-126,-9,-115
-126,-9,-115
-126,-9,-107
-136,-7,-107
-136,-7,-107
-136,-7,-107
-136,-7,-107
-136,-7,-107
-136,-7,-107
-136,-7,-107
-149,-15,-93
-149,-15,-93
-149,-15,-93
-149,-15,-93
-149,-15,-93
-149,-15,-93
-149,-15,-93
-163,-17,-63
-163,-17,-63
-163,-17,-63
-163,-17,-63
-163,-17,-63
-163,-17,-63
-163,-17,-63
-163,-17,-63
-182,-20,-33
-182,-20,-33
-182,-20,-33
-182,-20,-33
-182,-20,-33
-182,-20,-33
-182,-20,-33
-204,-37,-15
-204,-37,-15
-204,-37,-15
-204,-37,-15
-204,-37,-15
-204,-37,-15
-204,-37,-15
-222,-65,-3
-223,-65,-3
-223,-65,-3
-223,-65,-3
-223,-65,-3
-223,-65,-3
-223,-65,-3
-223,-65,-3
-233,-77,6
-233,-77,6
-233,-77,6
-233,-77,6
-233,-77,6
-233,-77,6
-233,-77,6
-233,-77,6
-233,-77,19
-238,-74,19
-238,-74,19
-238,-74,19
-238,-74,19
-238,-74,19
-238,-74,19
-238,-74,19
-242,-62,32
-242,-62,32
-242,-62,32
-242,-62,32
-242,-62,32
-242,-62,32
-242,-62,32
-242,-62,32
-246,-54,42
-246,-54,42
-246,-54,42
-246,-54,42
-246,-54,42
-246,-54,42
-246,-54,42
-246,-54,42
-248,-53,51
-248,-53,51
-248,-53,51
-248,-53,51
-248,-53,51
-248,-53,51
-248,-53,51
-248,-53,51
-245,-55,63
-245,-55,63
-245,-55,63
-245,-55,63
-245,-55,63
-245,-55,63
-245,-55,63
-245,-55,63
-240,-62,80
-240,-62,80
-240,-62,80
-240,-62,80
-240,-62,80
-240,-62,80
-240,-62,80
-240,-62,91
-234,-74,91
-234,-74,91
-234,-74,91
-234,-74,91
-234,-74,91
-234,-74,91
-234,-74,91
-226,-85,87
-226,-85,87
-226,-85,87
-226,-85,87
-226,-85,87
-226,-85,87
-226,-85,87
-226,-85,87
-212,-100,75
-212,-100,75
-212,-100,75
-212,-100,75
-212,-100,75
-212,-100,75
-212,-100,75
-212,-100,65
-193,-114,65
-193,-114,65
-193,-114,65
-193,-114,65
-193,-114,65
-193,-114,65
-193,-114,65
-171,-124,69
-171,-124,69
-171,-124,69
-171,-124,69
-171,-124,69
-171,-124,69
-171,-124,69
-148,-128,84
-148,-128,84
-148,-128,84
-148,-128,84
-148,-128,84
-148,-128,84
-148,-128,84
-148,-128,107
-131,-125,103
-131,-125,103
-131,-125,103
-131,-125,103
-131,-125,103
-131,-125,103
-131,-125,119
-117,-121,119
-117,-121,119
-117,-121,119
-117,-121,119
-117,-121,119
-117,-121,119
-117,-121,131
-101,-121,131
-101,-121,131
-101,-121,131
-101,-121,131
-101,-121,131
-101,-121,131
-101,-121,143
-77,-122,143
-77,-122,143
-77,-122,143
-77,-122,143
-77,-122,143
-77,-122,143
-77,-122,143
-48,-125,151
-48,-125,151
-48,-125,151
-48,-125,151
-48,-125,151
-48,-125,151
-48,-125,151
-19,-134,152
-19,-134,152
-19,-134,152
-19,-134,152
-19,-134,152
-19,-134,152
-19,-134,152
-19,-143,148
3,-146,148
3,-146,148
3,-146,148
3,-146,148
3,-146,148
3,-146,148
3,-146,148
3,-146,148
20,-151,144
20,-151,144
20,-151,144
20,-151,144
20,-151,144
20,-151,144
20,-151,144
20,-151,138
35,-150,138
35,-150,138
35,-150,138
35,-150,138
35,-150,138
35,-150,138
35,-150,138
49,-148,132
48,-148,132
48,-148,132
48,-148,132
48,-148,132
48,-148,132
48,-148,132
48,-148,132
62,-148,124
62,-148,124
62,-148,124
62,-148,124
62,-148,124
62,-148,124
62,-148,124
62,-148,124
78,-148,114
78,-148,114
78,-148,114
78,-148,114
78,-148,114
78,-148,114
78,-148,114
78,-148,114
98,-142,101
98,-142,101
98,-142,101
98,-142,101
98,-142,101
98,-142,101
98,-142,101
98,-142,101
120,-131,89
120,-131,89
120,-131,89
120,-131,89
120,-131,89
120,-131,89
120,-131,89
120,-131,79
142,-117,79
142,-117,79
142,-117,79
142,-117,79
142,-117,79
142,-117,79
142,-117,79
161,-101,70
161,-101,70
161,-101,70
161,-101,70
161,-101,70
161,-101,70
161,-101,70
161,-101,70
173,-82,66
173,-82,66
173,-82,66
173,-82,66
173,-82,66
173,-82,66
173,-82,66
173,-82,66
173,-82,65
181,-65,65
181,-65,65
181,-65,65
181,-65,65
181,-65,65
181,-65,65
181,-65,65
181,-65,65
185,-58,57
185,-58,57
185,-58,57
185,-58,57
185,-58,57
185,-58,57
185,-58,57
185,-58,57
187,-56,41
187,-56,41
187,-56,41
187,-56,41
187,-56,41
187,-56,41
187,-56,41
187,-56,41
187,-56,22
193,-60,22
193,-60,22
193,-60,22
193,-60,22
193,-60,22
193,-60,22
193,-60,22
193,-60,22
208,-62,1
208,-62,1
208,-62,1
208,-62,1
208,-62,1
208,-62,1
208,-62,1
208,-62,1
208,-62,1
224,-60,-12
224,-60,-12
224,-60,-12
224,-60,-12
224,-60,-12
224,-60,-12
224,-60,-12
224,-60,-12
242,-53,-19
242,-53,-19
242,-53,-19
242,-53,-19
242,-53,-19
242,-53,-19
242,-53,-19
242,-53,-27
255,-41,-27
255,-41,-27
255,-41,-27
255,-41,-27
255,-41,-27
255,-41,-27
255,-41,-27
251,-31,-39
252,-31,-39
252,-31,-39
252,-31,-39
252,-31,-39
252,-31,-39
252,-31,-39
252,-31,-39
235,-18,-48
235,-18,-48
235,-18,-48
235,-18,-48
235,-18,-48
235,-18,-48
235,-18,-48
235,-18,-48
212,1,-51
212,1,-51
212,1,-51
212,1,-51
212,1,-51
212,1,-51
212,1,-51
212,1,-51
212,1,-51
188,23,-46
188,23,-46
188,23,-46
188,23,-46
188,23,-46
188,23,-46
188,23,-46
188,23,-46
169,36,-38
169,36,-38
169,36,-38
169,36,-38
169,36,-38
169,36,-38
169,36,-38
169,36,-38
169,36,-38
158,39,-36
158,39,-36
158,39,-36
158,39,-36
158,39,-36
158,39,-36
158,39,-36
158,39,-36
150,37,-43
150,37,-43
150,37,-43
150,37,-43
150,37,-43
150,37,-43
150,37,-43
150,37,-43
166,24,-60
166,24,-60
166,24,-60
166,24,-60
166,24,-60
166,24,-60
166,24,-60
166,24,-60
166,24,-60
199,5,-78
199,5,-78
199,5,-78
199,5,-78
199,5,-78
199,5,-78
199,5,-78
199,5,-78
199,5,-97
212,-7,-97
212,-7,-97
212,-7,-97
212,-7,-97
212,-7,-97
212,-7,-97
212,-7,-97
212,-7,-97
208,-3,-108
208,-3,-108
208,-3,-108
208,-3,-108
208,-3,-108
208,-3,-108
208,-3,-108
208,-3,-108
194,6,-120
194,6,-120
194,6,-120
194,6,-120
194,6,-120
194,6,-120
194,6,-120
194,6,-120
169,20,-130
169,20,-130
169,20,-130
169,20,-130
169,20,-130
169,20,-130
169,20,-130
169,20,-130
132,33,-127
132,33,-127
132,33,-127
132,33,-127
132,33,-127
132,33,-127
132,33,-127
132,33,-127
87,43,-110
87,43,-110
87,43,-110
87,43,-110
87,43,-110
87,43,-110
87,43,-110
87,43,-110
44,45,-85
44,45,-85
44,45,-85
44,45,-85
44,45,-85
44,45,-85
44,45,-85
44,45,-85
44,45,-85
13,30,-71
13,30,-71
13,30,-71
13,30,-71
13,30,-71
13,30,-71
13,30,-71
13,30,-71
13,30,-71
0,7,-74
0,7,-74
0,7,-74
0,7,-74
0,7,-74
0,7,-74
0,7,-74
0,7,-74
0,7,-74
0,7,-74
0,-14,-88
0,-14,-88
0,-14,-88
0,-14,-88
0,-14,-88
0,-14,-88
0,-14,-88
0,-14,-88
0,-14,-88
4,-23,-106
6,-23,-106
6,-23,-106
6,-23,-106
6,-23,-106
6,-23,-106
6,-23,-106
6,-23,-106
6,-23,-106
15,-14,-128
15,-14,-128
15,-14,-128
15,-14,-128
15,-14,-128
15,-14,-128
15,-14,-128
15,-14,-146
26,8,-144
26,8,-144
26,8,-144
26,8,-144
26,8,-144
26,8,-144
26,8,-144
26,8,-144
26,35,-149
32,32,-149
32,32,-149
32,32,-149
32,32,-149
32,32,-149
32,32,-149
32,32,-149
32,32,-149
28,43,-148
28,43,-148
28,43,-148
28,43,-148
28,43,-148
28,43,-148
28,43,-148
28,43,-148
15,36,-144
15,36,-144
15,36,-144
15,36,-144
15,36,-144
15,36,-144
15,36,-144
15,36,-144
15,36,-135
-3,15,-135
-3,15,-135
-3,15,-135
-3,15,-135
-3,15,-135
-3,15,-135
-3,15,-135
-3,15,-135
-26,-11,-126
-26,-11,-126
-26,-11,-126
-26,-11,-126
-26,-11,-126
-26,-11,-126
-26,-11,-126
-45,-34,-127
-45,-34,-127
-45,-34,-127
-45,-34,-127
-45,-34,-127
-45,-34,-127
-45,-34,-127
-45,-34,-145
-54,-46,-143
-54,-46,-143
-54,-46,-143
-54,-46,-143
-54,-46,-143
-54,-46,-143
-54,-46,-143
-54,-43,-168
-54,-43,-168
-54,-43,-168
-54,-43,-168
-54,-43,-168
-54,-43,-168
-54,-43,-168
-49,-25,-186
-49,-25,-186
-49,-25,-186
-49,-25,-186
-49,-25,-186
-49,-25,-186
-49,-25,-186
-49,-25,-186
-44,0,-194
-44,0,-194
-44,0,-194
-44,0,-194
-44,0,-194
-44,0,-194
-44,0,-194
-44,0,-194
-45,17,-192
-45,17,-192
-45,17,-192
-45,17,-192
-45,17,-192
-45,17,-192
-45,17,-192
-45,17,-192
-56,24,-186
-56,24,-186
-56,24,-186
-56,24,-186
-56,24,-186
-56,24,-186
-56,24,-186
