gX,gY,gZ
"
84",4,20
"
91",8,9
"
129",2,3
"
143",0,-5
"
113",-3,-1
"
105",14,-15
"
2",19,3
"
-109",-12,4
"
-208",-2,6
"
-242",-5,-28
"
-153",-26,-26
"
72",-8,8
"
141",16,24
"
182",9,5
"
113",0,-10
"
87",-7,-2
"
80",-16,-9
"
49",0,2
"
-30",73,10
"
-168",1,3
"
-309",-14,-25
"
-272",-35,-35
"
127",2,32
"
175",22,47
"
176",2,14
"
150",-22,5
"
36",-19,4
"
33",-20,-8
"
-11",41,12
"
-137",-11,-7
"
-288",-38,-20
"
-284",-40,-40
"
-44",-14,-4
"
114",30,42
"
170",29,34
"
213",-10,0
"
138",-38,0
"
40",-33,-6
"
52",-6,-13
"
-4",33,20
"
-92",-3,3
"
-249",-30,7
"
-267",14,-22
"
-154",-3,-2
"
51",-15,9
"
179",19,49
"
211",13,15
"
118",6,-21
"
117",11,-10
"
96",6,-1
"
41",0,13
"
-28",30,8
"
-202",-14,0
"
-380",-49,-24
"
-273",8,-38
"
0",9,19
"
172",12,44
"
228",24,32
"
179",23,6
"
99",38,-1
"
124",13,3
"
6",-14,-2
"
-116",-22,0
"
-160",-10,1
"
-191",11,0
"
-134",9,-6
"
152",12,15
"
122",0,17
"
103",7,13
"
96",7,-5
"
117",9,-4
"
-1",21,12
"
-101",-32,2
"
-212",-16,-5
"
-195",5,-38
"
-131",-7,-9
"
134",10,39
"
120",27,44
"
169",-2,1
"
101",4,3
"
102",-6,5
"
93",-125,-43
"
-28",-13,-11
"
-173",-3,-7
"
-225",13,-4
"
-195",-11,-7
"
84",-17,21
"
112",11,15
"
154",-13,3
"
78",-17,-2
"
79",-7,-6
"
27",10,0
"
-20",11,-3
"
-184",-27,-1
"
-243",-37,-22
"
-146",0,-8
"
-1",39,12
"
97",40,18
"
225",30,21
"
170",12,-3
"
108",17,10
"
63",3,8
"
11",0,-2
"
5",7,-3
"
-148",-2,-4
"
-284",-36,-24
"
-181",-16,-5
"
61",24,29
"
116",1,24
"
147",7,13
"
135",1,0
"
90",-4,1
"
16",0,5
"
6",-3,15
"
-61",-9,0
"
-162",-7,-20
"
-185",-13,-44
"
-90",-19,-20
"
-3",-16,11
"
99",2,18
"
140",7,8
"
103",29,6
"
98",6,0
"
11",5,10
"
-30",7,-1
"
-97",4,-5
"
-174",4,-30
"
-189",-30,-29
"
-50",15,5
"
124",14,13
"
148",12,26
"
113",-4,20
"
78",-10,6
"
17",0,15
"
-3",-16,15
"
-39",10,-7
"
-166",10,-2
"
-211",-18,-12
"
-94",-11,1
"
51",22,34
"
111",23,26
"
143",10,9
"
101",-13,-5
"
62",-10,-5
"
34",-6,4
"
-18",34,12
"
-69",-9,6
"
-169",-15,0
"
-214",-23,-26
"
-221",-38,-9
"
57",5,23
"
108",16,21
"
153",25,25
"
153",13,2
"
122",9,-5
"
68",4,-3
"
-12",0,3
"
-77",-35,0
"
-158",-9,0
"
-270",-40,-33
"
-136",-11,-12
"
85",17,23
"
152",18,38
"
150",0,20
"
100",-26,6
"
85",-26,-7
"
159",-64,-23
"
35",-3,3
"
-36",-9,1
"
-115",28,11
"
-218",30,-13
"
-283",13,-25
"
-81",0,-15
"
131",4,30
"
197",-39,21
"
187",-28,26
"
130",-50,-11
"
87",9,-5
"
41",-2,-2
"
-38",-11,-1
"
-210",-46,-5
"
-421",-89,-30
"
-162",18,2
"
110",48,35
"
171",23,30
"
219",24,7
"
178",14,1
"
86",-11,4
"
18",-35,-16
"
-36",60,15
"
-179",2,-15
"
-399",-62,-40
"
-168",1,3
"
62",15,32
"
189",38,55
